url,name,details
https://medicament.ma/medicament/abip-15-mg-comprime-pellicule/,"ABIP 15 MG, Comprimé pelliculé [P]",Boite de 20 - PPV: 268.00 dhs
https://medicament.ma/medicament/abiranat-250-mg-comprime/,"ABIRANAT 250 MG, Comprimé",Boite d'un flacon de 120 - PPV: 10411.00 dhs
https://medicament.ma/medicament/abiraterone-gt-250-mg-comprime/,"ABIRATERONE GT 250 MG, Comprimé",Boite de 120 - PPV: 10411.00 dhs
https://medicament.ma/medicament/abstral-100-%c2%b5g-comprime-sublingual/,"ABSTRAL 100 µG, Comprimé sublingual [P] [SS]",Boite de 10 - PPV: 876.00 dhs
https://medicament.ma/medicament/abstral-200-%c2%b5g-comprime-sublingual/,"ABSTRAL 200 µG, Comprimé sublingual [P] [SS]",Boite de 10 - PPV: 876.00 dhs
https://medicament.ma/medicament/abstral-400-%c2%b5g-comprime-sublingual/,"ABSTRAL 400 µG, Comprimé sublingual [P][SS]",Boite de 10 - PPV: 876.00 dhs
https://medicament.ma/medicament/acard-50-mg-comprime-pellicule/,"ACARD 50 MG, Comprimé pelliculé",Boite de 28 - PPV: 77.20 dhs
https://medicament.ma/medicament/accupril-20-mg-comprime/,"ACCUPRIL 20 MG, Comprimé enrobé sécable",Boîte de 28 - PPV: 70.10 dhs
https://medicament.ma/medicament/accupril-5-mg-comprime/,"ACCUPRIL 5 MG, Comprimé sécable",Boîte de 28 - PPV: 37.50 dhs
https://medicament.ma/medicament/acdigest-gelule/,"ACDigest, Gélule",Blister de 30 - PPC: 59.00 dhs
https://medicament.ma/medicament/acerumen-flacon-unidose/,"ACERUMEN, Flacon unidose",10 flacons - PPC: 58.00 dhs
https://medicament.ma/medicament/acethio-500-mg-2-mg-comprime/,"ACETHIO 500 MG / 2 MG, Comprimé",Boite de 20 - PPV: 34.60 dhs
https://medicament.ma/medicament/acfol-5mg-comprime/,"ACFOL 5 MG, Comprimé",Boite de 28 - PPV: 24.50 dhs
https://medicament.ma/medicament/aciclovir-mylan-250-mg-poudre-pour-solution-injectable-iv/,"ACICLOVIR MYLAN 250 MG, Poudre pour solution injectable (IV)",Boite de 5 flacons de 10 ML - PPV: 628.00 dhs
https://medicament.ma/medicament/acide-alendronique-gt-70-mg-comprime-pellicule/,"ACIDE ALENDRONIQUE GT 70 MG, Comprimé pelliculé",Boîte de 4 - PPV: 164.50 dhs
https://medicament.ma/medicament/acide-alendronique-normon-comprime/,"ACIDE ALENDRONIQUE NORMON 70 MG, Comprimé",Boite de 4 - PPV: 184.50 dhs
https://medicament.ma/medicament/acide-zoledronique-cooper-4-mg-injectable/,"ACIDE ZOLEDRONIQUE COOPER 4 MG, Lyophilisat et solvant et solvant pour perfusion IV",Boite de 1 flacon de lyophilisat de 10 ml et ampoule de solvant de 5 ml - PPV: 1356.00 dhs
https://medicament.ma/medicament/acide-zoledronique-mylan-4-mg-5-ml-solution-a-diluer-pour-perfusion/,"ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML, Solution à diluer pour perfusion",Flacon de 5 ml - PPV: 1356.00 dhs
https://medicament.ma/medicament/acide-zoledronique-promopharm-4-mg-5-ml-solution-a-diluer-pour-perfusion/,"ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ML - PPV: 1356.00 dhs
https://medicament.ma/medicament/acide-zoledronique-sp-4-mg-5-ml-solution-a-diluer-pour-perfusion/,"ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML, Solution à diluer pour perfusion",Boite de 1 flacon de 5 ml - PPV: 1255.00 dhs
https://medicament.ma/medicament/acigam-100-mg-comprime-secable/,"ACIGAM 100 MG, Comprimé sécable",Boite de 30 - PPV: 27.00 dhs
https://medicament.ma/medicament/acigam-200-mg-comprime-secable/,"ACIGAM 200 MG, Comprimé sécable",Boite de 20 - PPV: 33.60 dhs
https://medicament.ma/medicament/aclasta-5mg100-ml-sol-pour-perf/,"ACLASTA 5 MG / 100 ML, Solution pour perfusion",Flacon de 100 ml - PPV: 3041.00 dhs
https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-4/,"ACLAV 1 G / 125 MG, Sachet",Boîte de 24 - PPV: 174.80 dhs
https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-3/,"ACLAV 1 G / 125 MG, Sachet",Boîte de 16 - PPV: 123.40 dhs
https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable-2/,"ACLAV 1 G / 125 MG, Sachet",Boîte de 14 - PPV: 107.50 dhs
https://medicament.ma/medicament/aclav-1-g125-mg-poudre-pour-suspension-buvable/,"ACLAV 1 G / 125 MG, Sachet",Boîte de 12 - PPV: 92.50 dhs
https://medicament.ma/medicament/aclav-1g-200mg-adulte-suspension-injectable/,"ACLAV 1 G / 200 MG ADULTE, Suspension injectable",Boîte de 1 flacon - PPV: 30.80 dhs
https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable-4/,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",2 flacons de 60 ml - PPV: 112.70 dhs
https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable-2/,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",2 flacons de 30 ml - PPV: 60.50 dhs
https://medicament.ma/medicament/aclav-100-mg125-mlml-poudre-pour-suspension-buvable/,"ACLAV 100 MG / 12,5 ML, Poudre pour suspension buvable",Flacon de 30 ml - PPV: 34.20 dhs
https://medicament.ma/medicament/aclav-2g-200-mg-adulte-suspension-injectable/,"ACLAV 2 G / 200 MG ADULTE, Suspension injectable",Une boite unitaire - PPV: 43.00 dhs
https://medicament.ma/medicament/aclav-50050mg-poudre-pour-preparation-injectable/,"ACLAV 500 MG / 50 MG, Poudre pour préparation injectable",Boite contenant un flacon - PPV: 18.70 dhs
https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable-4/,"ACLAV 500 MG / 62,5 MG, Sachet",Boîte de 24 - PPV: 113.50 dhs
https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable-3/,"ACLAV 500 MG / 62,5 MG, Sachet",Boîte de 16 - PPV: 99.50 dhs
https://medicament.ma/medicament/aclav-500-mg625-mg-poudre-pour-suspension-buvable/,"ACLAV 500 MG / 62.5 MG, Sachet",Boîte de 12 - PPV: 74.60 dhs
https://medicament.ma/medicament/acno-10-mg-capsule-molle-3/,"ACNO 10 MG, Capsule molle",Boîtede 30 - PPV: 142.10 dhs
https://medicament.ma/medicament/acno-20-mg-capsule-molle-3/,"ACNO 20 MG, Capsule molle",Boîte de 30 - PPV: 269.00 dhs
https://medicament.ma/medicament/acno-20-mg-capsule-molle-4/,"ACNO 20 MG, Capsule molle",Boîte de 60 - PPV: 497.00 dhs
https://medicament.ma/medicament/acn0-30mg-capsule-molle/,"ACNO 30 MG, Capsule molle",Boite de 30 - PPV: 348.00 dhs
https://medicament.ma/medicament/acol-1000-mg-comprime-pellicule/,"ACOL 1000 MG, Comprimé pelliculé",Boite de 30 - PPV: 18.30 dhs
https://medicament.ma/medicament/act-hib/,"ACT HIB, Suspension injectable [V]",Une seringue contenant une dose - PPV: 143.00 dhs
https://medicament.ma/medicament/actacept-5-mg-comprime-pellicule-2/,"ACTACEPT  5 MG, Comprimé pelliculé",Boite de 30 - PPV: 233.00 dhs
https://medicament.ma/medicament/actacept-10-mg-comprime-pellicule/,"ACTACEPT 10 MG, Comprimé pelliculé",Boite de 30 - PPV: 373.00 dhs
https://medicament.ma/medicament/actalevure-gel/,"ACTALEVURE, Gelule",Boite de 15 gélules - PPC: 39.00 dhs
https://medicament.ma/medicament/actemra-162-mg-0-9-ml-solution-pour-injection-sous-cutanee/,"ACTEMRA 162 MG / 0.9 ML, Solution pour injection sous cutanée",Boite de 4 seringues pré-remplies - PPV: 6826.00 dhs
https://medicament.ma/medicament/actemra-200mg10ml-solution-a-diluer-pour-perfusion/,"ACTEMRA 200 MG / 10 ML, Solution à diluer pour perfusion",1 flacon de 20 ml - PPV: 2848.00 dhs
https://medicament.ma/medicament/actemra-400mg20ml-solution-a-diluer-pour-perfusion/,"ACTEMRA 400 MG / 20 ML, Solution à diluer pour perfusion",Boîte de 1 flacon de 20 ml - PPV: 5296.00 dhs
https://medicament.ma/medicament/actemra-80mg4ml-solution-a-diluer-pour-perfusion/,"ACTEMRA 80 MG / 4 ML, Solution à diluer pour perfusion",Boîte de 1 flacon de 10 ml - PPV: 1279.00 dhs
https://medicament.ma/medicament/acticarbine-70-mg-comprime-drageifie-2/,"ACTICARBINE 70 MG, Comprimé dragéfié",Boîte de 84 - PPV: 43.80 dhs
https://medicament.ma/medicament/acticarbon-plus-gelules/,"ACTICARBON Plus, Gélules",Boite de 30 - PPC: 79.00 dhs
https://medicament.ma/medicament/acticarbon-transit-gelules/,"ACTICARBON Transit, Gélules",Boite de 30 - PPC: 79.00 dhs
https://medicament.ma/medicament/actidigest-comprime/,"ACTIDIGEST, Comprimé",Boite de 40 - PPC: 112.00 dhs
https://medicament.ma/medicament/actipetit-comprime/,"ACTIPETIT, Comprimé",Boite de 30 - PPC: 79.90 dhs
https://medicament.ma/medicament/actitrans-sirop/,"ACTITRANS, Sirop",Flacon de 100 ML - PPC: 98 dhs
https://medicament.ma/medicament/actrapid-hm-100-uiml-solution-injectable/,"ACTRAPID HM 100 UI / ML, Solution Injectable [Ins]",Flacon de 10 ml - PPV: 186.00 dhs
https://medicament.ma/medicament/actrapid-hm-penfill-100-uiml-solution-injectable/,"ACTRAPID HM PENFIL 100 UI / ML, Solution Injectable [Ins]",5 cartouches 3 ml - PPV: 350.00 dhs
https://medicament.ma/medicament/actyl-b9-comprime/,"ACTYL B9 200 µG , Comprimé",Boite de 60 - PPC: 60.00 dhs
https://medicament.ma/medicament/actyl-d-5-%c2%b5g-200-ui-comprime/,"ACTYL D 5 µG / 200 UI , Comprimé",Boite de 30 - PPC: 70.00 dhs
https://medicament.ma/medicament/acucarb-150-mg-solution-pour-perfusion/,"ACUCARB 150 MG / 15 ML, Solution pour perfusion",Flacon de 15 ml - PPV: 408.00 dhs
https://medicament.ma/medicament/acucarb-450-mg-solution-pour-perfusion/,"ACUCARB 450 MG, Solution pour perfusion",Flacon de 45 ml - PPV: 906.00 dhs
https://medicament.ma/medicament/acuilix-12520-mg-comprime/,"ACUILIX 12,5 MG / 20 MG, Comprimé",Boîte de 28 - PPV: 64.50 dhs
https://medicament.ma/medicament/acular-05-collyre/,"ACULAR 0.5 %, Collyre",Flacon de 5 ml - PPV: 36.30 dhs
https://medicament.ma/medicament/acupan-20-mg-solution-injectable/,"ACUPAN 20 MG, Solution injectable [P]",Boîte de 5 ampoules de 2 ml - PPV: 47.60 dhs
https://medicament.ma/medicament/acupaxil-30-solution-a-diluer-pour-perfusion/,"ACUPAXIL 30 MG, Solution à diluer pour perfusion",Flacon de 5 ml - PPV: 430.00 dhs
https://medicament.ma/medicament/adacel-polio-suspension-injectable-il-en-seringue-preremplie/,"ADACEL-POLIO, Suspension injectable (IM) en seringue préremplie [V]","Seringue d'une dose unique de 0,5 ML boite unitaire - PPV: 355.00 dhs"
https://medicament.ma/medicament/adancor-10-mg-comprime-secable/,"ADANCOR 10 MG, Comprimé sécable",Boite de 30 - PPV: 72.80 dhs
https://medicament.ma/medicament/adancor-20-mg-comprime-secable/,"ADANCOR 20 MG, Comprimé sécable",Boite de 30 - PPV: 138.60 dhs
https://medicament.ma/medicament/additiva-magnesium-300mg-sachets-gout-citron/,"ADDITIVA MAGNESIUM 300 MG, Sachets goût citron",Boite de 20 - PPC: 89.00 dhs
https://medicament.ma/medicament/additiva-multivitamines-comprime-effervescent-gout-orange-sans-sucre/,"ADDITIVA MULTIVITAMINES, Comprimé effervescent goût orange  sans sucre",Boite de 20 - PPC: 79.00 dhs
https://medicament.ma/medicament/additiva-vital-comprime-dragefie/,"ADDITIVA VITAL, Comprimé dragéfié",Boite de 30 - PPC: 99.00 dhs
https://medicament.ma/medicament/adenol-lp-10-mg-comprimes-a-liberation-prolongee-2/,"ADENOL LP 10 MG, Comprimé",Boite de 30 - PPV: 137.90 dhs
https://medicament.ma/medicament/adenol-lp-10-mg-comprimes-a-liberation-prolongee/,"ADENOL LP 10 MG, Comprimés",Boite de 10 - PPV: 53.40 dhs
https://medicament.ma/medicament/adepal-comprime-enrobe-2/,"ADEPAL, Comprimé enrobé [C]",Boîte de 63 - PPV: 31.10 dhs
https://medicament.ma/medicament/adepal-comprime-enrobe/,"ADEPAL, Comprimé enrobé [C]",Boîte de 21 - PPV: 13.00 dhs
https://medicament.ma/medicament/adfil-emulsion/,"ADFIL, Émulsion",Tube de 30 G - PPV: 39.50 dhs
https://medicament.ma/medicament/admoxel-20-mg-0-5-ml-solution-a-diluer-et-solvant-pour-perfusion/,"ADMOXEL 20 MG / 0.5 ML, Solution à diluer et solvant pour perfusion",Boite d'un flacon de 5 ml contenant 0.5 ml de solution et un flacon de 5 ml contenant 1.5 ml de solvant - PPV: 820.00 dhs
https://medicament.ma/medicament/ado-1000mg-comprime-pellicule-2/,"ADO 1000 MG, Comprimé pelliculé",Boite de 60 - PPV: 35.00 dhs
https://medicament.ma/medicament/ado-1000mg-comprime-pellicule/,"ADO 1000 MG, Comprimé pelliculé",Boite de 30 - PPV: 19.90 dhs
https://medicament.ma/medicament/ado-1000mg-comprime-pellicule-3/,"ADO 1000 MG, Comprimé pelliculé",Boite de 90 - PPV: 43.30 dhs
https://medicament.ma/medicament/ado-500-mg-comprime-pellicule/,"ADO 500 MG, Comprimé pelliculé",Boîte de 50 - PPV: 17.50 dhs
https://medicament.ma/medicament/ado-850-mg-comprime-pellicule/,"ADO 850 MG, Comprimé pelliculé",Boîte de 30 - PPV: 19.00 dhs
https://medicament.ma/medicament/ado-850-mg-comprime-pellicule-2/,"ADO 850 MG, Comprimé pelliculé",Boîte de 60 - PPV: 34.00 dhs
https://medicament.ma/medicament/adrenaline-025-mg-ampoule-injectable-de-1-ml-2/,"ADRENALINE 0.25 MG, Ampoule injectable",Boîte de 100 ampoules de 1 ml - PPV: 268.00 dhs
https://medicament.ma/medicament/adrenaline-050-mg-ampoule-injectable-de-1-ml-2/,"ADRENALINE 0.50 MG, Ampoule injectable",Boîte de 100 ampoules de 1 ml - PPV: 284.00 dhs
https://medicament.ma/medicament/adrenaline-1-mg-ampoule-injectable-de-1-ml-2/,"ADRENALINE 1 MG, Ampoule injectable",Boîte de 100 ampoules de 1 ml - PPV: 308.00 dhs
https://medicament.ma/medicament/adriblastina-du-10-mg-poudre-pour-preparation-injectable/,"ADRIBLASTINE 10 MG, Poudre pour préparation injectable",1 flacon + ampoule de solvant de 5 ml - PPV: 109.50 dhs
https://medicament.ma/medicament/adriblastina-rd-du-50-mg-poudre-pour-preparation-injectable/,"ADRIBLASTINE RD 50 MG, Poudre pour préparation injectable",Boîte de 1 flacon - PPV: 454.00 dhs
https://medicament.ma/medicament/adronat-70-mg-comprime/,"ADRONAT 70 MG, Comprimé",Boite de 4 - PPV: 164.50 dhs
https://medicament.ma/medicament/advaquenil-200-mg-comprime-enrobe/,"ADVAQUENIL 200 MG, Comprimé enrobé",Boite de 30 - PPV: 40.60 dhs
https://medicament.ma/medicament/aerius-5mg-comprime/,"AERIUS  5 MG, Comprimé pelliculé",Boîte de 7 - PPV: 25.00 dhs
https://medicament.ma/medicament/aerius-5mg-comprime-2/,"AERIUS 5 MG, Comprimé pelliculé",Boîte de 15 - PPV: 51.70 dhs
https://medicament.ma/medicament/aerius-5mg-comprime-3/,"AERIUS 5 MG, Comprimé pelliculé",Boîte de 30 - PPV: 95.90 dhs
https://medicament.ma/medicament/aeromax-100-%c2%b5g-suspension-pour-pulverisation-nasale/,"AÉROMAX 100 µg, Suspension pour pulvérisation nasale",Flacon de 200 doses - PPV: 177.60 dhs
