"id_medicament","Code_EAN_13","Nom","Image_URL","Présentation","Dosage","Distributeur_ou_fabriquant","Composition","Classe_thérapeutique","Statut","Code_ATC","PPV","Prix_hospitalier","Tableau","Indications","Min_Stock","Stock_Actuel","url_medicament"
"8","6118001170388","ACCUPRIL 20 MG, Comprimé enrobé sécable","https://medicament.ma/image/15791/","Boîte de 28","20 MG","PFIZER MAROC","Quinapril","Antihypertenseur de la famille des inhibiteurs de l'enzyme de conversion  de l'angiotensine","Commercialisé","C09AA06","70.10","43.80","A","- Hypertension artérielle ;- insuffisance cardiaque congestive.","0","17","https://medicament.ma/medicament/accupril-20-mg-comprime/"
"9","6118001170371","ACCUPRIL 5 MG, Comprimé sécable","https://medicament.ma/image/15791/","Boîte de 28","5 MG","PFIZER MAROC","Quinapril","Antihypertenseur de la famille des inhibiteurs de l'enzyme de conversion  de l'angiotensine","Commercialisé","C09AA06","37.50","23.40","A","- Hypertension artérielle ;- insuffisance cardiaque congestive.","0","59","https://medicament.ma/medicament/accupril-5-mg-comprime/"
"13","6118000430025","ACFOL 5 MG, Comprimé","https://medicament.ma/image/15791/","Boite de 28","5 MG","VERSALYA SA","Acide folique","Antianémique","Commercialisé","B03BB01","24.50","15.30","Aucun","Prévention et traitement de carence en acide folique chez les femmes enceintes pour la prévention d’anomalies du tube neural (spina bifida, anencéphalie, encéphalocèle) et autres anomalies congénitales, spécialement chez les femmes ayant eu un enfant ou un fœtus porteur de ces anomalies du tube neural.Traitement de la carence en acide folique associée à des affections telles : anémies mégaloblastiques, alcoolisme, syndrome de malabsorption.","0","73","https://medicament.ma/medicament/acfol-5mg-comprime/"
"14","6118001430086","ACICLOVIR MYLAN 250 MG, Poudre pour solution injectable (IV)","https://medicament.ma/image/15791/","Boite de 5 flacons de 10 ML","250 MG","VIATRIS PHARMACEUTICALS","Aciclovir","Antiviral","Commercialisé","J05AB01","628.00","417.00","A","CHEZ LE SUJET IMMUNODÉPRIMÉ- Infections à virus Varicelle Zona (VZV),- Infection à virus Herpes Simplex (HSV).CHEZ LE SUJET IMMUNOCOMPTENTInfections à VZV- Zona grave par l'extension ou par l'évolutivité des lésions,- Varicelle chez la femme enceinte dont l'éruption survient dans les 8 à 10 jours avant l'accouchement,- Varicelle du nouveau-né,- Le nouveau-né avant toute éruption, lorsque la mère a débuté une varicelle dans les 5 jours précédents et les 2 jours suivants l'accouchement,- Formes graves de varicelle chez l'enfant de moins de 1 an,- Varicelle compliquée, en particulier de pneumopathie varicelleuse,Infections à HSV- Primo-infection génitale herpétique sévère,- Traitement des gingivo-stomatites herpétiques aiguës, lorsque la gêne fonctionnelle rend la voie orale impossible,- Traitement du syndrome de Kaposi Juliusberg,- Traitement de la méningo-encéphalite herpétique.","0","29","https://medicament.ma/medicament/aciclovir-mylan-250-mg-poudre-pour-solution-injectable-iv/"
"15","6118001380046","ACIDE ALENDRONIQUE GT 70 MG, Comprimé pelliculé","https://medicament.ma/image/15791/","Boîte de 4","70 MG","ATLAS PHARM","Alendronate","Régulateur du métabolisme osseux, bisphosphonate","Commercialisé","M05BA04","164.50","102.80","A","Régulateur du métabolisme osseux, bisphosphonate","0","29","https://medicament.ma/medicament/acide-alendronique-gt-70-mg-comprime-pellicule/"
"16","6118000230366","ACIDE ALENDRONIQUE NORMON 70 MG, Comprimé","https://medicament.ma/image/15791/","Boite de 4","70 MG","IBERMA","Alendronate","Régulateur du métabolisme osseux, bisphosphonate","Commercialisé","M05BA04","184.50","102.80","A","Régulateur du métabolisme osseux, bisphosphonate","0","38","https://medicament.ma/medicament/acide-alendronique-normon-comprime/"
"17","6118001102082","ACIDE ZOLEDRONIQUE COOPER 4 MG, Lyophilisat et solvant et solvant pour perfusion IV","https://medicament.ma/image/15791/","Boite de 1 flacon de lyophilisat de 10 ml et ampoule de solvant de 5 ml","4 MG","COOPER PHARMA","Acide zolédronique","Médicaments pour le traitement de maladies osseuses, bisphosphonate.","Commercialisé","M05BA08","1356.00","1088.00","A","La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.","0","33","https://medicament.ma/medicament/acide-zoledronique-cooper-4-mg-injectable/"
"18","6118001430048","ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML, Solution à diluer pour perfusion","https://medicament.ma/image/15791/","Flacon de 5 ml","4 MG / 5 ML","VIATRIS PHARMACEUTICALS","Acide zolédronique","Médicaments pour le traitement de maladies osseuses, bisphosphonate.","Commercialisé","M05BA08","1356.00","1088.00","A","La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.","0","17","https://medicament.ma/medicament/acide-zoledronique-mylan-4-mg-5-ml-solution-a-diluer-pour-perfusion/"
"19","6118001260843","ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML, Solution à diluer pour perfusion","https://medicament.ma/image/15791/","Boite de 1 flacon de 5 ML","4 MG / 5 ML","PROMOPHARM (HIKMA)","Acide zolédronique","Médicaments pour le traitement de maladies osseuses, bisphosphonate.","Commercialisé","M05BA08","1356.00","1088.00","A","La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.","0","43","https://medicament.ma/medicament/acide-zoledronique-promopharm-4-mg-5-ml-solution-a-diluer-pour-perfusion/"
"20","6118001330249","ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML, Solution à diluer pour perfusion","https://medicament.ma/image/15791/","Boite de 1 flacon de 5 ml","4 MG / 5 ML","AMANYS PHARMA (Ex SAHAM PHARMA)","Acide zolédronique","Médicaments pour le traitement de maladies osseuses, bisphosphonate.","Commercialisé","M05BA08","1255.00","983.00","A","La substance active contenue est l’acide zolédronique qui appartient à un groupe de substances appelées bisphosphonates.L’acide zolédronique agit en s’attachant à l’os et en ralentissant le taux de renouvellement osseux. Il est utilisé :- pour prévenir les complications osseuses, ex. fractures, chez les patients adultes ayant des métastases osseuses (diffusion du cancer du site principal à l’os) ;- pour diminuer le taux de calcium dans le sang des patients adultes lorsque celui-ci est élevé en raison de la présence d’une tumeur. Les tumeurs peuvent accélérer le renouvellement osseux habituel de sorte que la quantité de calcium libéré par l’os est augmentée. Cette pathologie est appelée hypercalcémie induite par les tumeurs.","0","41","https://medicament.ma/medicament/acide-zoledronique-sp-4-mg-5-ml-solution-a-diluer-pour-perfusion/"
